employee_id,name,hire_date,exit_date,status,department,role_family,role_level,job_title,salary,compa_ratio,gender,age_band,cultural_background,contract_type,hipo_flag,promotion_eligible,manager_id,hire_source,legacy_entity_code,data_source_system,days_to_fill,tenure_months,acting_appointment,exit_type,stated_exit_reason,notice_period_served,regrettable_flag,performance_band_at_exit,salary_at_exit,manager_id_at_exit,pathway
E00156,Matthew Davis,1988-08-13,2024-03-15,departed,Risk & Compliance,Risk-Compliance,3,"Senior Manager, Risk & Compliance",185700.0,0.93,Male,55-59,Prefer not to say,Full-time,True,True,E00273,graduate,NovaCorp-Origin,WorkdayHR,63.0,433,False,voluntary,Better opportunity,False,True,Meets Expectations,185700.0,E00273,pull
E00200,Mr. Allen Price,1988-10-26,2025-08-10,departed,Insurance,Client-Advisory,2,"Manager, Insurance",143000.0,0.99,Male,55-59,East Asian,Full-time,False,True,E07060,referral,NovaCorp-Origin,WorkdayHR,38.0,447,False,voluntary,Career advancement,True,True,Outstanding,143000.0,E07060,pull
E00273,Brian Martinez,1989-03-09,2024-03-25,departed,Risk & Compliance,Operations-Processing,4,"Director, Risk & Compliance",258500.0,0.84,Male,60+,South Asian,Full-time,True,False,E08830,direct,NovaCorp-Origin,WorkdayHR,32.0,426,False,voluntary,Career advancement,False,True,High Performer,258500.0,E08830,pull
E00402,Michael Blankenship,1989-08-29,2025-11-11,departed,Risk & Compliance,Corporate-Support,2,"Manager, Risk & Compliance",134500.0,0.93,Male,60+,Maori/Aboriginal & Torres Strait Islander,Full-time,False,True,E03948,direct,NovaCorp-Origin,WorkdayHR,77.0,440,False,voluntary,Career advancement,True,True,Outstanding,134500.0,E03948,pull
E00829,Susan Banks,1991-03-30,2025-03-29,departed,Wealth Management,Management,3,"Senior Manager, Wealth Management",175400.0,0.88,Female,60+,Anglo-Australian,Full-time,True,True,E09938,direct,NovaCorp-Origin,WorkdayHR,64.0,413,False,voluntary,Career advancement,False,True,Outstanding,175400.0,E09938,pull
E00861,Megan Buchanan,1991-05-22,2024-03-26,departed,Corporate Operations,Management,2,"Manager, Corporate Operations",120600.0,0.83,Female,60+,Anglo-Australian,Casual,False,False,E01502,graduate,NovaCorp-Origin,WorkdayHR,41.0,399,False,voluntary,Better opportunity,False,True,Outstanding,120600.0,E01502,pull
E00874,Calvin Bowers,1991-06-16,2024-11-29,departed,Technology,Technology,2,"Manager, Technology",139300.0,0.96,Male,60+,Southeast Asian,Full-time,False,True,E03511,agency,NovaCorp-Origin,WorkdayHR,69.0,407,False,voluntary,Career advancement,True,True,Outstanding,139300.0,E03511,pull
E00891,Justin Small,1991-07-14,2024-03-09,departed,Technology,Risk-Compliance,2,"Manager, Technology",141100.0,0.97,Male,60+,Anglo-Australian,Full-time,False,False,E14118,direct,NovaCorp-Origin,WorkdayHR,23.0,397,False,voluntary,Career advancement,False,True,Outstanding,141100.0,E14118,pull
E01140,Daniel Berger,1992-06-21,2025-11-28,departed,Technology,Technology,2,"Manager, Technology",120000.0,0.83,Male,60+,Anglo-Australian,Full-time,True,False,E01600,direct,NovaCorp-Origin,WorkdayHR,34.0,407,False,voluntary,Better opportunity,True,True,Outstanding,120000.0,E01600,pull
E01249,Mr. Joe Chang,1992-12-07,2024-08-19,departed,Corporate Operations,Client-Advisory,3,"Senior Manager, Corporate Operations",187100.0,0.94,Male,60+,Anglo-Australian,Full-time,False,False,E05144,agency,NovaCorp-Origin,WorkdayHR,58.0,385,False,voluntary,Better opportunity,True,True,Outstanding,187100.0,E05144,pull
E01302,Austin Romero,1993-02-14,2024-08-29,departed,Retail Banking,Client-Advisory,2,"Manager, Retail Banking",131300.0,0.91,Male,50-54,Anglo-Australian,Full-time,False,False,E01000,acquisition,NovaCorp-Origin,WorkdayHR,49.0,383,False,voluntary,Career advancement,False,True,Outstanding,131300.0,E01000,pull
E01365,Terry Williams,1993-05-10,2025-03-25,departed,Risk & Compliance,Risk-Compliance,3,"Senior Manager, Risk & Compliance",187600.0,0.94,Male,55-59,Anglo-Australian,Part-time,True,False,E06153,direct,NovaCorp-Origin,WorkdayHR,45.0,388,False,voluntary,Better opportunity,True,True,Below Expectations,187600.0,E06153,pull
E01522,Michael Lyons,1994-01-29,2025-10-17,departed,Risk & Compliance,Management,2,"Manager, Risk & Compliance",142300.0,0.98,Non-binary,60+,Anglo-Australian,Full-time,False,True,E07892,agency,NovaCorp-Origin,WorkdayHR,34.0,386,False,voluntary,Career advancement,True,True,Outstanding,142300.0,E07892,push
E01535,Richard Gutierrez,1994-02-12,2024-04-09,departed,Risk & Compliance,Corporate-Support,2,"Manager, Risk & Compliance",128200.0,0.88,Male,55-59,European (non-Anglo),Part-time,True,True,E01474,direct,NovaCorp-Origin,WorkdayHR,75.0,367,False,voluntary,Better opportunity,False,True,Outstanding,128200.0,E01474,pull
E01686,Daniel Rodriguez,1994-09-29,2025-07-27,departed,Technology,Client-Advisory,3,"Senior Manager, Technology",173700.0,0.94,Male,60+,South Asian,Full-time,True,False,E02048,agency,NovaCorp-Origin,WorkdayHR,61.0,375,False,voluntary,Career advancement,True,True,High Performer,173700.0,E02048,pull
E01730,Nicholas Smith,1994-12-15,2025-10-13,departed,Wealth Management,Client-Advisory,3,"Senior Manager, Wealth Management",182100.0,0.86,Male,60+,Anglo-Australian,Casual,True,False,E02897,agency,NovaCorp-Origin,WorkdayHR,41.0,375,False,voluntary,Career advancement,True,True,High Performer,182100.0,E02897,pull
E01788,Charles Lloyd,1995-03-03,2025-06-24,departed,Corporate Operations,Operations-Processing,3,"Senior Manager, Corporate Operations",172700.0,1.01,Male,60+,Anglo-Australian,Part-time,False,True,E04361,referral,NovaCorp-Origin,WorkdayHR,89.0,369,False,voluntary,Better opportunity,True,True,Outstanding,172700.0,E04361,pull
E01910,Kelly Rojas,1995-08-27,2024-07-17,departed,Retail Banking,Client-Advisory,3,"Senior Manager, Retail Banking",179400.0,0.9,Female,55-59,Anglo-Australian,Full-time,True,False,E11918,direct,NovaCorp-Origin,WorkdayHR,23.0,351,False,voluntary,Better opportunity,True,True,Meets Expectations,179400.0,E11918,pull
E01997,Robin Mora,1995-12-25,2025-07-31,departed,Executive Leadership,Management,2,"Manager, Executive Leadership",129300.0,0.89,Female,55-59,East Asian,Fixed-term,True,False,E07676,agency,NovaCorp-Origin,WorkdayHR,80.0,360,False,voluntary,Career advancement,True,True,Below Expectations,129300.0,E07676,pull
E02051,Michele Gonzalez,1996-03-03,2025-10-24,departed,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",122100.0,0.84,Female,60+,Anglo-Australian,Full-time,False,True,E14091,acquisition,NovaCorp-Origin,WorkdayHR,46.0,360,False,voluntary,Career advancement,True,True,Outstanding,122100.0,E14091,push
E02071,Roberto Bailey,1996-04-09,2025-11-28,departed,Risk & Compliance,Management,2,"Manager, Risk & Compliance",127200.0,0.88,Male,60+,Southeast Asian,Full-time,True,False,E01644,referral,NovaCorp-Origin,WorkdayHR,69.0,360,False,voluntary,Better opportunity,True,True,High Performer,127200.0,E01644,pull
E02183,Robert Mullins,1996-08-23,2025-10-10,departed,Corporate Operations,Operations-Processing,2,"Manager, Corporate Operations",124300.0,0.86,Male,60+,South Asian,Fixed-term,True,True,E01281,agency,NovaCorp-Origin,WorkdayHR,42.0,354,False,voluntary,Better opportunity,False,True,Meets Expectations,124300.0,E01281,pull
E02388,David Becker,1997-06-24,2024-04-30,departed,Corporate Operations,Operations-Processing,2,"Manager, Corporate Operations",138000.0,0.95,Male,50-54,Southeast Asian,Full-time,False,False,E01230,acquisition,NovaCorp-Origin,WorkdayHR,17.0,326,False,voluntary,Role uncertainty / unclear future,True,True,Outstanding,138000.0,E01230,push
E02631,Stephanie Hamilton,1998-06-25,2024-05-16,departed,Retail Banking,Operations-Processing,2,"Manager, Retail Banking",134400.0,0.93,Female,45-49,East Asian,Part-time,False,False,E12716,direct,NovaCorp-Origin,WorkdayHR,78.0,315,False,voluntary,Better opportunity,True,True,Outstanding,134400.0,E12716,pull
E02663,Charles Tucker,1998-08-07,2025-03-28,departed,Technology,Corporate-Support,2,"Manager, Technology",127100.0,0.88,Male,55-59,South Asian,Full-time,True,False,E11587,direct,NovaCorp-Origin,WorkdayHR,26.0,324,False,voluntary,Better opportunity,True,True,Unsatisfactory,127100.0,E11587,pull
E02688,Jonathan Anderson,1998-08-27,2024-08-09,departed,Insurance,Operations-Processing,2,"Manager, Insurance",133000.0,0.92,Male,60+,Maori/Aboriginal & Torres Strait Islander,Full-time,True,False,E03615,graduate,NovaCorp-Origin,WorkdayHR,19.0,315,False,voluntary,Career advancement,True,True,Outstanding,133000.0,E03615,push
E02805,Robert Nicholson,1999-02-20,2024-03-11,departed,Retail Banking,Operations-Processing,2,"Manager, Retail Banking",115600.0,0.8,Male,45-49,Southeast Asian,Full-time,True,False,E05666,graduate,NovaCorp-Origin,WorkdayHR,72.0,305,False,voluntary,Career advancement,True,True,Outstanding,115600.0,E05666,pull
E02850,David Larson,1999-05-02,2024-07-08,departed,Risk & Compliance,Technology,4,"Director, Risk & Compliance",324500.0,0.98,Male,55-59,Anglo-Australian,Full-time,False,True,E11957,agency,NovaCorp-Origin,WorkdayHR,58.0,306,False,voluntary,Career advancement,False,True,Outstanding,324500.0,E11957,pull
E02980,Robert Collins,1999-10-13,2024-02-25,departed,Risk & Compliance,Management,3,"Senior Manager, Risk & Compliance",235700.0,0.77,Male,60+,Pacific Islander,Full-time,True,False,E02692,agency,NovaCorp-Origin,WorkdayHR,45.0,296,False,voluntary,Career advancement,True,True,Unsatisfactory,235700.0,E02692,pull
E03040,Roger Garcia,2000-01-21,2024-10-31,departed,Technology,Operations-Processing,2,"Manager, Technology",134200.0,0.93,Male,55-59,Anglo-Australian,Full-time,False,False,E12311,agency,NovaCorp-Origin,WorkdayHR,67.0,301,False,voluntary,Career advancement,True,True,Outstanding,134200.0,E12311,push
E03101,Matthew Brown MD,2000-04-16,2024-10-11,departed,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",168400.0,0.77,Male,55-59,Anglo-Australian,Full-time,True,False,E00587,acquisition,NovaCorp-Origin,WorkdayHR,65.0,298,False,voluntary,Better opportunity,True,True,High Performer,168400.0,E00587,pull
E03214,Kathryn Morris,2000-09-20,2024-11-28,departed,Insurance,Management,2,"Manager, Insurance",126900.0,0.88,Female,45-49,South Asian,Full-time,False,False,E00029,agency,NovaCorp-Origin,WorkdayHR,69.0,294,False,voluntary,Career advancement,True,True,Outstanding,126900.0,E00029,push
E03242,Holly Wade,2000-11-03,2025-02-25,departed,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",115300.0,0.8,Female,40-44,Anglo-Australian,Full-time,True,True,E07777,direct,NovaCorp-Origin,WorkdayHR,39.0,296,False,voluntary,Career advancement,True,True,Outstanding,115300.0,E07777,pull
E03243,Kimberly Holmes,2000-11-04,2025-10-17,departed,Corporate Operations,Technology,3,"Senior Manager, Corporate Operations",193600.0,0.86,Female,50-54,East Asian,Part-time,True,True,E07291,graduate,NovaCorp-Origin,WorkdayHR,60.0,303,False,voluntary,Better opportunity,False,True,High Performer,193600.0,E07291,pull
E03332,Brittany Davis,2001-03-21,2024-08-06,departed,Risk & Compliance,Operations-Processing,2,"Manager, Risk & Compliance",176500.0,1.06,Female,55-59,Anglo-Australian,Full-time,False,False,E12277,acquisition,NovaCorp-Origin,WorkdayHR,74.0,284,False,voluntary,Better opportunity,True,True,Outstanding,176500.0,E12277,pull
E03375,Rickey Rice,2001-05-17,2024-06-28,departed,Wealth Management,Management,1,Team Leader,137300.0,0.71,Male,60+,Anglo-Australian,Part-time,True,False,E00597,agency,NovaCorp-Origin,WorkdayHR,51.0,281,False,voluntary,Better opportunity,True,True,Outstanding,137300.0,E00597,pull
E03580,Robert Harris,2002-02-26,2025-03-30,departed,Technology,Client-Advisory,1,Adviser,85200.0,1.03,Male,55-59,Anglo-Australian,Full-time,False,False,E02432,graduate,NovaCorp-Origin,WorkdayHR,77.0,281,False,voluntary,Career advancement,True,True,Outstanding,85200.0,E02432,pull
