employee_id,name,hire_date,exit_date,status,department,role_family,role_level,job_title,salary,compa_ratio,gender,age_band,cultural_background,contract_type,hipo_flag,promotion_eligible,manager_id,hire_source,legacy_entity_code,data_source_system,days_to_fill,tenure_months,acting_appointment,exit_date_log,exit_type,stated_exit_reason,notice_period_served,regrettable_flag,performance_band_at_exit,salary_at_exit,manager_id_at_exit,pathway,exit_dt,is_leaver,voluntary,regrettable,cutoff,last_manager_effectiveness,last_psychological_safety,last_recognition,last_career_development,last_senior_leadership_trust,last_purpose_meaning,last_wellbeing,last_confidence_in_role_future,mean_manager_effectiveness,mean_psychological_safety,mean_recognition,mean_career_development,mean_senior_leadership_trust,mean_purpose_meaning,mean_wellbeing,mean_confidence_in_role_future,slope_manager_effectiveness,slope_psychological_safety,slope_recognition,slope_career_development,slope_senior_leadership_trust,slope_purpose_meaning,slope_wellbeing,slope_confidence_in_role_future,waves_offered,waves_answered,nonresponse_rate,ever_nonresponder,answered_final_wave,went_silent,last_engagement_index,mean_engagement_index,slope_engagement_index,n_reviews,last_rating_num,mean_rating_num,first_rating_num,last_goal,mean_goal,first_goal,n_promo_rec,ever_promo_rec,last_promo_rec,n_reviewers,rating_delta,goal_delta,top_performer,mgr_span,mgr_team_vol_rate,mgr_team_hipo_share,mgr_rated_effectiveness,mgr_departed,peer_median_salary,salary_vs_peer,peer_median_compa,compa_vs_peer,underpaid,tenure_years,hipo,acquired,acting,agency_hire,slow_fill,tenure_band
E00001,Madison Lang,1988-01-11,,active,Wealth Management,Operations-Processing,2,"Manager, Wealth Management",115200.0,0.79,Female,60+,Anglo-Australian,Full-time,False,False,E04330,referral,NovaCorp-Origin,WorkdayHR,22.0,462,False,,,,,,,,,,,False,0,0,2025-12-31,4.57,4.34,5.0,3.78,4.57,3.75,4.46,4.37,4.632,4.532,4.704,3.712,4.054,3.942,4.720000000000001,4.49,-0.13,0.064,0.18,-0.117,0.3030000000000001,0.1249999999999999,-0.0529999999999999,-0.065,5.0,5.0,0.0,0.0,True,0.0,4.355,4.34825,0.038375,3.0,3.0,3.0,3.0,76.4,62.63333333333333,46.1,0.0,False,False,1.0,0.0,30.300000000000004,0.0,3.0,0.0,0.0,4.281222222222223,0,131200.0,0.8780487804878049,0.91,-0.12,1,38.5,0,0,0,0,0,10y+
E00003,Amy Garza,1988-01-13,,active,Wealth Management,Corporate-Support,3,"Senior Manager, Wealth Management",170200.0,0.85,Female,60+,South Asian,Full-time,False,False,E13109,direct,NovaCorp-Origin,WorkdayHR,62.0,462,False,,,,,,,,,,,False,0,0,2025-12-31,5.0,3.24,4.52,4.32,4.66,5.0,5.0,5.0,4.970000000000001,3.5840000000000005,4.412,4.066000000000001,4.368,4.482,4.862,4.91,-0.0030000000000001,-0.075,-0.1519999999999999,-0.0449999999999999,0.0420000000000001,0.1449999999999999,0.0370000000000001,-0.0269999999999999,5.0,5.0,0.0,0.0,True,0.0,4.592499999999999,4.456750000000001,-0.0097499999999999,3.0,4.0,3.6666666666666665,3.0,83.2,72.96666666666667,67.0,2.0,True,True,1.0,1.0,16.200000000000003,1.0,5.0,0.0,0.0,3.4495000000000005,0,190700.0,0.8925013109596225,0.94,-0.0899999999999999,1,38.5,0,0,0,0,1,10y+
E00004,Meghan Robertson,1988-01-14,,active,Insurance,Management,2,"Manager, Insurance",125500.0,0.87,Female,60+,East Asian,Full-time,False,False,E14294,referral,NovaCorp-Origin,WorkdayHR,86.0,462,False,,,,,,,,,,,False,0,0,2025-12-31,2.14,3.68,2.1,3.36,3.72,4.3,1.98,2.89,2.376,4.166,3.476,3.97,3.2,3.28,2.1979999999999995,3.24,0.053,-0.26,-0.3809999999999999,-0.0370000000000001,-0.0509999999999998,0.3609999999999999,-0.0109999999999999,0.0450000000000001,5.0,5.0,0.0,0.0,True,0.0,3.02125,3.2382500000000003,-0.0351249999999999,3.0,5.0,3.0,3.0,76.5,60.5,67.0,0.0,False,False,1.0,2.0,9.5,1.0,7.0,0.0,0.1428571428571428,2.112642857142857,0,130650.0,0.9605817068503636,0.91,-0.04,1,38.5,0,0,0,0,1,10y+
E00005,Gabrielle Crawford,1988-01-14,2024-12-24,departed,Wealth Management,Technology,2,"Manager, Wealth Management",132400.0,0.91,Female,60+,East Asian,Full-time,False,True,E12337,direct,NovaCorp-Origin,WorkdayHR,63.0,449,False,2024-12-24,voluntary,Relocation,True,False,Meets Expectations,132400.0,E12337,push,2024-12-24,True,1,0,2024-12-24,4.85,4.1,3.09,4.49,3.33,4.1,2.29,3.79,4.529999999999999,3.895,3.29,4.745,3.27,3.575,2.56,3.3200000000000003,0.6399999999999997,0.4099999999999997,-0.4000000000000003,-0.5099999999999998,0.1200000000000001,1.0499999999999998,-0.54,0.94,3.0,2.0,0.3333333333333333,1.0,False,1.0,3.755,3.648125,0.2137499999999998,2.0,5.0,4.5,4.0,97.1,82.4,67.7,0.0,False,False,1.0,1.0,29.39999999999999,1.0,6.0,0.1666666666666666,0.0,3.737138888888889,0,131200.0,1.0091463414634143,0.91,0.0,0,37.41666666666666,0,0,0,0,1,10y+
E00006,Karen Hernandez,1988-01-15,2025-04-17,departed,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",120600.0,0.83,Female,60+,Anglo-Australian,Full-time,False,False,E00218,agency,NovaCorp-Origin,WorkdayHR,20.0,453,False,2025-04-17,voluntary,Work-life balance,True,False,Below Expectations,120600.0,E00218,push,2025-04-17,True,1,0,2025-04-17,2.82,3.09,3.24,3.61,2.69,1.39,2.57,2.66,3.03,2.8833333333333333,2.986666666666667,3.75,2.77,2.1333333333333333,2.8266666666666667,3.686666666666667,-0.0407142857142855,-0.0528571428571425,-0.1914285714285709,-0.1542857142857138,-0.004285714285714,-0.329285714285714,-0.2964285714285711,-0.4185714285714285,4.0,3.0,0.25,1.0,True,0.0,2.75875,3.0083333333333337,-0.1859821428571426,2.0,5.0,4.5,4.0,86.8,88.5,90.2,1.0,True,True,1.0,1.0,-3.4000000000000057,1.0,2.0,0.5,0.0,3.19125,0,131800.0,0.9150227617602428,0.91,-0.08,1,37.75,0,0,0,1,0,10y+
E00007,Lisa Hendricks,1988-01-15,,active,Wealth Management,Management,2,"Manager, Wealth Management",133400.0,0.92,Prefer not to say,60+,South Asian,Full-time,False,False,E09066,direct,NovaCorp-Origin,WorkdayHR,37.0,462,False,,,,,,,,,,,False,0,0,2025-12-31,4.93,3.64,3.06,2.99,3.06,5.0,3.89,3.1,4.8775,2.93,3.3,3.075,3.315,4.6,4.435,3.01,-0.063,0.1959999999999999,-0.2440000000000001,-0.1180000000000001,-0.1120000000000001,-0.0020000000000001,-0.372,0.132,5.0,4.0,0.1999999999999999,1.0,False,1.0,3.70875,3.6928125,-0.072875,3.0,3.0,3.0,3.0,51.0,65.10000000000001,67.5,0.0,False,False,1.0,0.0,-16.5,0.0,7.0,0.1428571428571428,0.0,3.8028571428571434,0,131200.0,1.016768292682927,0.91,0.01,0,38.5,0,0,0,0,0,10y+
E00008,Mr. Aaron Higgins,1988-01-18,2024-02-19,departed,Technology,Corporate-Support,2,"Manager, Technology",117800.0,0.81,Male,55-59,Anglo-Australian,Fixed-term,False,False,E00249,acquisition,NovaCorp-Origin,WorkdayHR,79.0,439,False,2024-02-19,voluntary,Career advancement,True,False,Meets Expectations,117800.0,E00249,push,2024-02-19,True,1,0,2024-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,5.0,5.0,75.7,75.7,75.7,0.0,False,False,1.0,0.0,0.0,1.0,2.0,0.5,0.0,4.032,0,130900.0,0.8999236058059588,0.91,-0.0999999999999999,1,36.583333333333336,0,0,0,0,1,10y+
E00009,Darlene Morris,1988-01-20,,active,Retail Banking,Technology,2,"Manager, Retail Banking",130700.0,0.9,Female,60+,Anglo-Australian,Full-time,False,True,E07814,agency,NovaCorp-Origin,WorkdayHR,38.0,462,False,,,,,,,,,,,False,0,0,2025-12-31,2.05,2.37,2.58,3.22,1.78,3.75,2.19,2.94,2.37,2.3175,2.5075000000000003,3.21,2.31,4.075,2.3375000000000004,4.07,-0.2999999999999999,0.029,-0.031,0.0100000000000001,-0.3,0.05,-0.2690000000000001,-0.7300000000000001,5.0,4.0,0.1999999999999999,1.0,True,0.0,2.6100000000000003,2.8996875000000006,-0.192625,3.0,2.0,2.6666666666666665,3.0,47.4,60.53333333333333,60.3,0.0,False,False,1.0,-1.0,-12.9,0.0,4.0,0.25,0.0,2.904,0,131800.0,0.9916540212443096,0.91,-0.01,0,38.5,0,0,0,1,0,10y+
E00010,Mr. David Cruz,1988-01-23,,active,Retail Banking,Management,2,"Manager, Retail Banking",126400.0,0.87,Male,60+,Anglo-Australian,Full-time,False,False,E06643,agency,NovaCorp-Origin,WorkdayHR,49.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,4.57,3.55,4.9,4.0,4.56,1.76,3.16,4.44,3.7075,3.3325,4.08,3.77,4.4325,1.91,3.58,3.8625,0.102,0.2214285714285713,0.192,0.1177142857142857,0.0614285714285713,-0.073142857142857,-0.0697142857142855,0.3791428571428572,5.0,4.0,0.1999999999999999,1.0,True,0.0,3.8675000000000006,3.584375,0.1163571428571429,3.0,3.0,3.333333333333333,4.0,57.3,61.133333333333326,58.0,0.0,False,False,1.0,-1.0,-0.7000000000000028,0.0,9.0,0.1111111111111111,0.1111111111111111,3.428962962962963,0,131800.0,0.9590288315629742,0.91,-0.04,1,38.41666666666666,0,0,0,1,0,10y+
E00011,Breanna Smith,1988-01-23,,active,Retail Banking,Technology,2,"Manager, Retail Banking",125100.0,0.86,Female,60+,Anglo-Australian,Full-time,False,False,E06856,direct,NovaCorp-Origin,WorkdayHR,14.0,461,False,,,,,,,,,,,False,0,0,2025-12-31,4.4,3.05,1.0,3.06,3.74,4.39,2.74,4.17,4.202500000000001,3.425,2.0925,3.7875,3.4875,4.2175,3.4925,3.9675,0.1909999999999999,-0.24,-0.3690000000000001,-0.194,0.142,0.2439999999999999,-0.008,0.0289999999999999,5.0,4.0,0.1999999999999999,1.0,True,0.0,3.3187500000000005,3.5840625000000004,-0.025625,3.0,4.0,3.6666666666666665,5.0,81.7,72.96666666666667,87.2,0.0,False,False,1.0,-1.0,-5.5,1.0,4.0,0.0,0.0,3.308125,0,131800.0,0.9491654021244308,0.91,-0.05,1,38.41666666666666,0,0,0,0,0,10y+
