employee_id,name,hire_date,exit_date,status,department,role_family,role_level,job_title,salary,compa_ratio,gender,age_band,cultural_background,contract_type,hipo_flag,promotion_eligible,manager_id,hire_source,legacy_entity_code,data_source_system,days_to_fill,tenure_months,acting_appointment,vol_exit_date,left,tenure_m_at_ref,last_rating,last_goal,last_promo_rec,n_reviews,n_promo_recs,repeat_promo_rec,ever_promo_rec,eligible_never_rec,goal_delta,surveyed,responded,non_responder,manager_effectiveness,psychological_safety,recognition,career_development,senior_leadership_trust,purpose_meaning,wellbeing,confidence_in_role_future,eng_index,d_manager_effectiveness,d_career_development,d_recognition,hist_response_rate,mgr_span,ref_date
E00001,Madison Lang,1988-01-11,,active,Wealth Management,Operations-Processing,2,"Manager, Wealth Management",115200.0,0.79,Female,60+,Anglo-Australian,Full-time,False,False,E04330,referral,NovaCorp-Origin,WorkdayHR,22.0,462,False,,0,441.42575558475687,Meets Expectations,46.1,False,1.0,0.0,0,0,0,0.0,True,True,0,4.65,4.67,4.87,3.72,3.51,3.8,4.52,4.34,4.26,-0.34999999999999964,-0.5299999999999998,0.3200000000000003,1.0,3.0,2024-10-25
E00003,Amy Garza,1988-01-13,,active,Wealth Management,Corporate-Support,3,"Senior Manager, Wealth Management",170200.0,0.85,Female,60+,South Asian,Full-time,False,False,E13109,direct,NovaCorp-Origin,WorkdayHR,62.0,462,False,,0,441.3600525624179,Meets Expectations,67.0,False,1.0,0.0,0,0,0,0.0,True,True,0,5.0,3.73,3.9,3.47,4.12,4.2,5.0,5.0,4.3025,0.040000000000000036,-0.8599999999999999,-1.1,1.0,5.0,2024-10-25
E00004,Meghan Robertson,1988-01-14,,active,Insurance,Management,2,"Manager, Insurance",125500.0,0.87,Female,60+,East Asian,Full-time,False,False,E14294,referral,NovaCorp-Origin,WorkdayHR,86.0,462,False,,0,441.3272010512483,Meets Expectations,67.0,False,1.0,0.0,0,0,0,0.0,True,True,0,2.84,4.19,3.93,4.12,3.04,3.14,2.52,4.26,3.505,0.71,0.16000000000000014,-0.029999999999999805,1.0,7.0,2024-10-25
E00005,Gabrielle Crawford,1988-01-14,2024-12-24,departed,Wealth Management,Technology,2,"Manager, Wealth Management",132400.0,0.91,Female,60+,East Asian,Full-time,False,True,E12337,direct,NovaCorp-Origin,WorkdayHR,63.0,449,False,2024-12-24,1,441.3272010512483,High Performer,67.7,False,1.0,0.0,0,0,1,0.0,True,False,1,,,,,,,,,,0.6399999999999997,-0.5099999999999998,-0.40000000000000036,0.6666666666666666,6.0,2024-10-25
E00006,Karen Hernandez,1988-01-15,2025-04-17,departed,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",120600.0,0.83,Female,60+,Anglo-Australian,Full-time,False,False,E00218,agency,NovaCorp-Origin,WorkdayHR,20.0,453,False,2025-04-17,1,441.2943495400788,High Performer,90.2,False,1.0,0.0,0,0,0,0.0,True,True,0,3.25,2.45,2.16,3.6,2.88,2.48,2.52,4.25,2.94875,0.22999999999999998,-0.43999999999999995,-1.4,0.6666666666666666,2.0,2024-10-25
E00007,Lisa Hendricks,1988-01-15,,active,Wealth Management,Management,2,"Manager, Wealth Management",133400.0,0.92,Prefer not to say,60+,South Asian,Full-time,False,False,E09066,direct,NovaCorp-Origin,WorkdayHR,37.0,462,False,,0,441.2943495400788,Meets Expectations,67.5,False,1.0,0.0,0,0,0,0.0,True,True,0,4.58,2.38,3.11,2.96,3.43,3.85,4.04,3.41,3.47,-0.41999999999999993,-0.41999999999999993,-0.7400000000000002,1.0,5.0,2024-10-25
E00009,Darlene Morris,1988-01-20,,active,Retail Banking,Technology,2,"Manager, Retail Banking",130700.0,0.9,Female,60+,Anglo-Australian,Full-time,False,True,E07814,agency,NovaCorp-Origin,WorkdayHR,38.0,462,False,,0,441.1300919842312,Meets Expectations,60.3,False,1.0,0.0,0,0,1,0.0,True,True,0,2.83,2.24,2.39,3.41,2.66,4.07,2.89,4.73,3.1525000000000003,0.10000000000000009,0.3200000000000003,-0.29000000000000004,0.6666666666666666,4.0,2024-10-25
E00010,Mr. David Cruz,1988-01-23,,active,Retail Banking,Management,2,"Manager, Retail Banking",126400.0,0.87,Male,60+,Anglo-Australian,Full-time,False,False,E06643,agency,NovaCorp-Origin,WorkdayHR,49.0,461,False,,0,441.03153745072274,High Performer,58.0,False,1.0,0.0,0,0,0,0.0,True,True,0,3.1,2.46,3.37,3.72,4.69,2.1,4.52,3.32,3.41,-0.7999999999999998,0.20000000000000018,-0.6600000000000001,0.6666666666666666,8.0,2024-10-25
E00011,Breanna Smith,1988-01-23,,active,Retail Banking,Technology,2,"Manager, Retail Banking",125100.0,0.86,Female,60+,Anglo-Australian,Full-time,False,False,E06856,direct,NovaCorp-Origin,WorkdayHR,14.0,461,False,,0,441.03153745072274,Outstanding,87.2,False,1.0,0.0,0,0,0,0.0,True,False,1,,,,,,,,,,0.3500000000000001,0.20000000000000018,-0.2200000000000002,0.6666666666666666,4.0,2024-10-25
E00012,Harold Mckinney,1988-01-24,,active,Technology,Operations-Processing,2,"Manager, Technology",126300.0,0.87,Male,55-59,South Asian,Full-time,False,False,E00712,graduate,NovaCorp-Origin,WorkdayHR,17.0,461,False,,0,440.9986859395532,High Performer,76.2,False,1.0,0.0,0,0,0,0.0,True,False,1,,,,,,,,,,0.020000000000000018,0.04999999999999982,-0.81,0.6666666666666666,6.0,2024-10-25
E00013,Glenda Calderon,1988-01-25,,active,Retail Banking,Technology,2,"Manager, Retail Banking",124300.0,0.86,Female,60+,Middle Eastern,Full-time,True,False,E00432,agency,NovaCorp-Origin,WorkdayHR,87.0,461,False,,0,440.9658344283837,High Performer,84.7,False,1.0,0.0,0,0,0,0.0,True,True,0,3.24,5.0,3.08,3.33,4.07,3.55,3.06,1.39,3.34,-0.34999999999999964,0.06000000000000005,-0.21999999999999975,1.0,11.0,2024-10-25
E00014,Karen Williams,1988-01-26,,active,Corporate Operations,Risk-Compliance,2,"Manager, Corporate Operations",122200.0,0.84,Female,55-59,South Asian,Full-time,False,False,E01653,direct,NovaCorp-Origin,WorkdayHR,46.0,461,False,,0,440.9329829172142,Below Expectations,48.9,False,1.0,0.0,0,0,0,0.0,True,True,0,4.46,3.94,3.42,4.32,4.13,3.49,3.12,2.75,3.7037500000000003,0.48,0.29000000000000004,0.22999999999999998,1.0,5.0,2024-10-25
E00015,Rebecca Kelly,1988-01-27,,active,Wealth Management,Management,2,"Manager, Wealth Management",121100.0,0.84,Female,60+,Maori/Aboriginal & Torres Strait Islander,Full-time,False,False,E07205,agency,NovaCorp-Origin,WorkdayHR,55.0,461,False,,0,440.90013140604464,Meets Expectations,44.1,False,1.0,0.0,0,0,0,0.0,True,True,0,3.35,4.06,5.0,1.64,2.36,3.49,4.26,3.52,3.46,-0.9899999999999998,-1.3800000000000001,1.0299999999999998,1.0,3.0,2024-10-25
E00016,Mark Cox,1988-01-27,,active,Retail Banking,Management,2,"Manager, Retail Banking",127900.0,0.88,Male,60+,Anglo-Australian,Full-time,False,True,E11238,direct,NovaCorp-Origin,WorkdayHR,21.0,461,False,,0,440.90013140604464,Meets Expectations,59.8,False,1.0,0.0,0,0,1,0.0,False,,0,,,,,,,,,,0.41000000000000014,-1.0099999999999998,1.0599999999999996,1.0,3.0,2024-10-25
E00017,Amy Newman,1988-01-29,,active,Retail Banking,Operations-Processing,2,"Manager, Retail Banking",139100.0,0.96,Female,60+,Anglo-Australian,Full-time,True,False,E11711,referral,NovaCorp-Origin,WorkdayHR,34.0,461,False,,0,440.83442838370564,Outstanding,90.0,False,1.0,0.0,0,0,0,0.0,True,True,0,4.23,3.24,2.59,1.98,1.62,3.69,2.11,3.83,2.91125,0.47000000000000064,-1.0499999999999998,0.08000000000000007,1.0,3.0,2024-10-25
E00018,Timothy Allen,1988-01-30,,active,Risk & Compliance,Client-Advisory,3,"Senior Manager, Risk & Compliance",174800.0,0.92,Male,60+,Prefer not to say,Full-time,False,False,E10247,agency,NovaCorp-Origin,WorkdayHR,69.0,461,False,,0,440.80157687253615,High Performer,86.9,False,1.0,0.0,0,0,0,0.0,True,True,0,2.79,4.99,1.81,2.91,3.16,2.89,4.42,3.07,3.255,-0.14000000000000012,0.8800000000000003,-0.8900000000000001,1.0,5.0,2024-10-25
E00019,Erin Carter,1988-01-31,,active,Retail Banking,Operations-Processing,2,"Manager, Retail Banking",115500.0,0.8,Female,60+,European (non-Anglo),Casual,False,False,E10272,agency,NovaCorp-Origin,WorkdayHR,36.0,461,False,,0,440.7687253613666,Meets Expectations,47.4,False,1.0,0.0,0,0,0,0.0,True,True,0,3.99,3.5,4.42,4.2,3.38,4.16,5.0,4.46,4.13875,-0.040000000000000036,-0.20999999999999996,0.5699999999999998,1.0,4.0,2024-10-25
E00020,John Taylor,1988-02-01,,active,Corporate Operations,Operations-Processing,2,"Manager, Corporate Operations",129800.0,0.9,Male,60+,Anglo-Australian,Full-time,False,True,E09364,acquisition,NovaCorp-Origin,WorkdayHR,15.0,461,False,,0,440.7358738501971,Meets Expectations,63.9,False,1.0,0.0,0,0,1,0.0,True,True,0,1.16,4.25,3.32,3.25,1.58,1.62,1.55,2.56,2.41125,-0.20000000000000018,0.1299999999999999,0.1499999999999999,1.0,5.0,2024-10-25
E00022,Brett Lawson,1988-02-05,,active,Insurance,Risk-Compliance,2,"Manager, Insurance",129400.0,0.89,Male,55-59,Anglo-Australian,Full-time,False,True,E00833,agency,NovaCorp-Origin,WorkdayHR,75.0,461,False,,0,440.60446780551905,Meets Expectations,60.5,False,1.0,0.0,0,0,1,0.0,True,True,0,4.42,2.14,5.0,4.61,4.21,4.13,3.81,3.54,3.9825,-0.5800000000000001,-0.3899999999999997,0.7400000000000002,1.0,4.0,2024-10-25
E00023,Jordan Anderson,1988-02-05,2025-07-04,departed,Technology,Corporate-Support,3,"Senior Manager, Technology",175400.0,0.88,Male,60+,Anglo-Australian,Full-time,False,False,E09824,direct,NovaCorp-Origin,WorkdayHR,85.0,455,False,2025-07-04,1,440.60446780551905,High Performer,76.2,False,1.0,0.0,0,0,0,0.0,True,True,0,4.12,4.46,4.14,4.35,5.0,3.98,4.8,4.59,4.43,-0.8799999999999999,0.16999999999999993,0.10999999999999943,0.6666666666666666,10.0,2024-10-25
E00024,Courtney Williams,1988-02-06,,active,Wealth Management,Risk-Compliance,4,"Director, Wealth Management",287300.0,1.05,Female,60+,East Asian,Full-time,False,True,E07787,direct,NovaCorp-Origin,WorkdayHR,36.0,461,False,,0,440.5716162943495,Outstanding,81.0,False,1.0,0.0,0,0,1,0.0,True,True,0,4.36,1.54,2.62,4.8,3.55,2.98,3.77,3.79,3.42625,0.29000000000000004,1.2399999999999998,1.02,1.0,1.0,2024-10-25
E00025,Michael Martin,1988-02-06,,active,Technology,Management,2,"Manager, Technology",123800.0,0.85,Non-binary,55-59,East Asian,Full-time,False,False,E00272,direct,NovaCorp-Origin,WorkdayHR,19.0,461,False,,0,440.5716162943495,Outstanding,90.3,True,1.0,1.0,0,1,0,0.0,True,True,0,2.76,4.83,3.42,3.41,2.37,4.93,4.9,4.33,3.8687500000000004,0.2899999999999996,-0.33000000000000007,-0.4900000000000002,1.0,2.0,2024-10-25
E00026,Kevin Monroe,1988-02-08,,active,Technology,Technology,2,"Manager, Technology",132700.0,0.92,Male,60+,South Asian,Full-time,False,False,E06422,direct,NovaCorp-Origin,WorkdayHR,63.0,461,False,,0,440.5059132720105,Meets Expectations,60.6,False,1.0,0.0,0,0,0,0.0,True,True,0,4.47,3.91,4.4,3.37,5.0,3.42,5.0,5.0,4.32125,0.33000000000000007,0.16000000000000014,-0.5999999999999996,1.0,5.0,2024-10-25
E00027,Mr. Stephen Duran MD,1988-02-10,2025-04-30,departed,Risk & Compliance,Corporate-Support,3,"Senior Manager, Risk & Compliance",172700.0,0.86,Male,60+,East Asian,Casual,False,False,E09174,graduate,NovaCorp-Origin,WorkdayHR,39.0,453,False,2025-04-30,1,440.44021024967145,Meets Expectations,56.6,False,1.0,0.0,0,0,0,0.0,True,True,0,2.35,1.44,3.03,2.66,3.52,2.45,3.79,2.95,2.77375,-0.33000000000000007,-0.48,0.7399999999999998,1.0,6.0,2024-10-25
E00029,Sarah Lee,1988-02-10,,active,Insurance,Operations-Processing,3,"Senior Manager, Insurance",177300.0,0.89,Female,60+,Anglo-Australian,Full-time,False,False,E01698,direct,NovaCorp-Origin,WorkdayHR,28.0,461,False,,0,440.44021024967145,Outstanding,83.3,True,1.0,1.0,0,1,0,0.0,False,,0,,,,,,,,,,0.0,0.0,0.0,0.5,6.0,2024-10-25
E00030,Lori Maddox,1988-02-11,,active,Retail Banking,Client-Advisory,3,"Senior Manager, Retail Banking",182700.0,0.91,Female,60+,Anglo-Australian,Full-time,False,False,E02887,agency,NovaCorp-Origin,WorkdayHR,77.0,461,False,,0,440.40735873850196,Meets Expectations,53.5,False,1.0,0.0,0,0,0,0.0,True,False,1,,,,,,,,,,0.0,0.0,0.0,0.3333333333333333,8.0,2024-10-25
E00031,Michael Smith,1988-02-12,,active,Technology,Management,2,"Manager, Technology",119100.0,0.82,Male,60+,Pacific Islander,Full-time,False,False,E07493,acquisition,NovaCorp-Origin,WorkdayHR,60.0,461,False,,0,440.37450722733246,Below Expectations,36.0,False,1.0,0.0,0,0,0,0.0,True,True,0,5.0,3.56,4.07,3.66,3.88,4.27,2.89,4.85,4.0225,1.27,0.7200000000000002,0.9500000000000002,1.0,17.0,2024-10-25
E00033,Lauren Johnson,1988-02-13,,active,Wealth Management,Client-Advisory,2,"Manager, Wealth Management",124100.0,0.86,Female,60+,Prefer not to say,Full-time,False,True,E00337,graduate,NovaCorp-Origin,WorkdayHR,28.0,461,False,,0,440.3416557161629,High Performer,69.2,False,1.0,0.0,0,0,1,0.0,True,True,0,4.6,3.81,3.33,3.71,4.56,3.9,3.5,4.03,3.9299999999999997,1.2399999999999998,0.08999999999999986,-0.79,0.6666666666666666,5.0,2024-10-25
E00034,Leah Williams,1988-02-14,,active,Technology,Technology,2,"Manager, Technology",131600.0,0.91,Female,55-59,East Asian,Casual,False,False,E03019,graduate,NovaCorp-Origin,WorkdayHR,26.0,461,False,,0,440.3088042049934,High Performer,75.2,True,1.0,1.0,0,1,0,0.0,True,True,0,3.78,3.02,3.7,1.97,4.26,2.91,3.16,2.95,3.21875,0.69,0.09999999999999987,1.1600000000000001,0.6666666666666666,3.0,2024-10-25
E00035,Laura Branch,1988-02-15,,active,Wealth Management,Management,2,"Manager, Wealth Management",118000.0,0.81,Female,55-59,Anglo-Australian,Casual,False,False,E00919,referral,NovaCorp-Origin,WorkdayHR,74.0,461,False,,0,440.2759526938239,High Performer,83.5,False,1.0,0.0,0,0,0,0.0,True,True,0,1.58,1.99,4.57,4.51,3.31,4.83,3.7,3.64,3.5162500000000003,-0.7399999999999998,-0.0600000000000005,0.27000000000000046,1.0,7.0,2024-10-25
E00036,Hayley Mitchell,1988-02-16,2025-09-29,departed,Corporate Operations,Technology,2,"Manager, Corporate Operations",130000.0,0.9,Female,60+,Anglo-Australian,Full-time,False,True,E02132,agency,NovaCorp-Origin,WorkdayHR,54.0,458,False,2025-09-29,1,440.24310118265436,Meets Expectations,56.9,False,1.0,0.0,0,0,1,0.0,True,True,0,3.63,2.82,2.22,5.0,2.54,2.67,3.26,4.0,3.2675,0.2799999999999998,0.05999999999999961,-0.43999999999999995,0.6666666666666666,8.0,2024-10-25
E00037,Danielle Mcdonald,1988-02-16,,active,Retail Banking,Technology,3,"Senior Manager, Retail Banking",179000.0,0.9,Female,60+,Anglo-Australian,Full-time,False,False,E05812,agency,NovaCorp-Origin,WorkdayHR,83.0,461,False,,0,440.24310118265436,Unsatisfactory,18.8,False,1.0,0.0,0,0,0,0.0,True,True,0,3.04,1.57,3.94,3.04,3.79,2.49,2.18,3.31,2.92,0.33000000000000007,-0.04999999999999982,0.27,1.0,4.0,2024-10-25
